Date,Name,Year,Letterboxd URI
2022-07-25,Separation,2020,https://boxd.it/qnbi
2022-07-30,A Bay of Blood,1971,https://boxd.it/232i
2022-08-02,King Knight,2021,https://boxd.it/tfvq
2022-08-03,Decision to Leave,2022,https://boxd.it/qp9e
2022-08-16,Bleat,2022,https://boxd.it/s3fe
2022-09-08,Tiny Cinema,2022,https://boxd.it/yFEI
2022-09-08,House of Darkness,2022,https://boxd.it/zzlW
2022-09-08,Don't Worry Darling,2022,https://boxd.it/mViu
2022-09-10,Irreversible,2002,https://boxd.it/29as
2022-09-10,Marebito,2004,https://boxd.it/z5O
2022-09-10,Fat Girl,2001,https://boxd.it/2a6w
2022-09-10,Visitor Q,2001,https://boxd.it/24DE
2022-09-10,The Celebration,1998,https://boxd.it/2aCM
2022-09-11,Terrifier,2011,https://boxd.it/33N6
2022-09-23,The Changeling,1980,https://boxd.it/1PVy
2022-11-18,Enys Men,2022,https://boxd.it/rM0m
2022-11-25,Fracture,2007,https://boxd.it/220K
2022-12-09,Re-Animator,1985,https://boxd.it/28hM
2022-12-12,Chinatown,1974,https://boxd.it/29vU
2022-12-12,The Bye Bye Man,2017,https://boxd.it/9b2k
2022-12-18,Broadcast Signal Intrusion,2021,https://boxd.it/tVj2
2022-12-18,Fire of Love,2022,https://boxd.it/yoPY
2022-12-20,Incantation,2022,https://boxd.it/wFiI
2022-12-20,The Blackcoat's Daughter,2015,https://boxd.it/b2Km
2022-12-20,The Summoned,2022,https://boxd.it/AMNQ
2022-12-22,The Front Room,2024,https://boxd.it/CqKk
2022-12-30,Leatherface: The Texas Chainsaw Massacre III,1990,https://boxd.it/1wyK
2023-01-01,Midnight Kiss,2019,https://boxd.it/ohlW
2023-01-01,Jamie Marks Is Dead,2014,https://boxd.it/7bno
2023-01-01,Candy Land,2022,https://boxd.it/v9SW
2023-01-01,Landlocked,2021,https://boxd.it/xb8A
2023-01-01,There's Something Wrong with the Children,2023,https://boxd.it/xYzA
2023-01-01,Visions,2015,https://boxd.it/bVCi
2023-01-09,Unsane,2018,https://boxd.it/gKrS
2023-01-21,When I Consume You,2021,https://boxd.it/tGzY
2023-01-30,Skinamarink,2022,https://boxd.it/ByDO
2023-02-27,Manodrome,2023,https://boxd.it/vPiw
2023-03-02,Clock,2020,https://boxd.it/seAM
2023-03-08,Hosts,2020,https://boxd.it/rI6q
2023-03-25,Godless: The Eastfield Exorcism,2023,https://boxd.it/F9Ae
2023-03-25,Nefarious,2023,https://boxd.it/yoHU
2023-04-24,I Should Have Run,2017,https://boxd.it/hnXo
2023-05-05,Come True,2020,https://boxd.it/iG90
2023-05-06,Swallowed,2022,https://boxd.it/w9xG
2023-05-06,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo
2023-05-06,Meshes of the Afternoon,1943,https://boxd.it/1sEE
2023-05-06,Vertigo,1958,https://boxd.it/2apI
2023-05-06,Imprint,2006,https://boxd.it/al6e
2023-05-07,Funny Games,1997,https://boxd.it/1WKM
2023-05-07,The Piano Teacher,2001,https://boxd.it/2886
2023-05-28,Life Is Sweet,1990,https://boxd.it/19GQ
2023-05-30,The Prowler,1981,https://boxd.it/Sr0
2023-05-30,Leaving D.C.,2013,https://boxd.it/eA70
2023-06-03,Timecrimes,2007,https://boxd.it/1OGM
2023-06-04,Prospect,2018,https://boxd.it/iijg
2023-06-06,Hypochondriac,2022,https://boxd.it/yuco
2023-06-19,Blood and Black Lace,1964,https://boxd.it/1qme
2023-06-19,Opera,1987,https://boxd.it/1E2M
2023-07-05,Wristcutters: A Love Story,2006,https://boxd.it/1QBY
